#GENE	1_S31	3_S32	4_S33	6_S34
0610005C13Rik	34	16	24	23
0610006L08Rik	0	0	0	2
0610009B22Rik	616	479	452	619
0610009E02Rik	13	10	12	12
0610009L18Rik	40	61	33	35
0610010F05Rik	1195	994	903	1054
0610010K14Rik	36	21	40	26
0610012D04Rik	0	1	0	0
0610012G03Rik	564	482	470	580
0610025J13Rik	14	16	9	8
0610030E20Rik	1763	1629	1396	1552
0610031O16Rik	0	0	0	1
0610033M10Rik	40	24	23	22
0610038B21Rik	40	27	48	17
0610039K10Rik	13	18	11	8
0610040B10Rik	40	47	28	22
0610040F04Rik	53	28	53	34
0610040J01Rik	120	68	78	77
0610043K17Rik	9	3	6	3
0710001A04Rik	0	0	0	0
1010001B22Rik	33	46	38	38
1100001I12Rik	1	0	0	0
1110002E22Rik	6	4	3	1
1110002J07Rik	29	26	79	50
1110002L01Rik	106	102	114	91
1110002O04Rik	2	1	1	0
1110003F10Rik	3	4	11	1
1110004F10Rik	3295	2808	2533	2760
1110006O24Rik	55	38	40	36
1110008E08Rik	0	0	0	0
1110008P14Rik	376	269	318	395
1110012L19Rik	682	538	546	511
1110013H19Rik	6	4	11	5
1110015O18Rik	0	0	0	0
1110017D15Rik	0	4	6	1
1110018N20Rik	6	2	5	2
1110019B22Rik	0	0	0	0
1110019D14Rik	66	44	19	11
1110020A21Rik	58	45	77	64
1110025L11Rik	0	0	0	0
1110025M09Rik	21	17	28	22
1110028F11Rik	1	0	0	1
1110028F18Rik	0	0	0	1
1110032A03Rik	426	367	376	352
1110032F04Rik	1650	2704	1524	1937
1110035H17Rik	2	3	2	5
1110038B12Rik	1396	1166	1172	1120
1110038F14Rik	954	722	606	809
1110046J04Rik	141	107	170	114
1110051M20Rik	924	770	681	649
1110057P08Rik	0	0	0	0
1110059E24Rik	1079	893	872	919
1110059G10Rik	559	493	409	447
1110060G06Rik	0	1	0	1
1110065P20Rik	334	255	272	301
1190001M18Rik	39	29	27	44
1190005I06Rik	27	17	25	17
1190007I07Rik	98	86	80	118
1190028D05Rik	0	0	0	0
1200007C13Rik	5	3	3	4
1300002E11Rik	290	209	245	228
1300014J16Rik	15	3	17	14
1300017J02Rik	11	11	20	9
1500002C15Rik	81	88	79	61
1500002F19Rik	4	5	8	2
1500004A13Rik	179	134	167	174
1500005C15Rik	3	0	2	7
1500009C09Rik	2	3	0	0
1500009L16Rik	235	271	243	247
1500011B03Rik	926	716	790	794
1500012K07Rik	0	0	0	0
1500015A07Rik	78	51	52	48
1500015L24Rik	0	0	0	0
1500026H17Rik	3	2	10	1
1500032F14Rik	2	3	0	4
1500035N22Rik	3	1	2	4
1520401A03Rik	4	10	2	3
1600002D24Rik	72	42	58	55
1600010M07Rik	0	0	0	0
1600012H06Rik	1667	1754	1265	1359
1600012P17Rik	0	1	0	0
1600014C10Rik	591	623	639	682
1600014C23Rik	8	0	0	3
1600017P15Rik	0	0	0	0
1600019K03Rik	0	0	0	0
1600020E01Rik	369	309	308	318
1600022D10Rik	2	4	1	0
1600023N17Rik	3	2	7	3
1600025M17Rik	0	2	0	0
1600027J07Rik	0	0	0	0
1600029O15Rik	0	0	0	0
1700001C19Rik	1	0	0	0
1700001D01Rik	3	1	0	0
1700001F09Rik	0	0	0	0
1700001G01Rik	0	0	0	2
